text,target,num_characters,num_words,num_sentences
"Biggest Diwali Offers@ VISHAL Mixer Grinder 3Jar(Mrp 2499) 45%OFF- Rs 1374 ONLY TODAY + FREE-VIP Trolley,Duffle Bag + 7.5% SBI Cashback TnC",1,118,31,1
"Don't miss out on FREE rewards on Airtel Thanks App. To claim your rewards, visit i.airtel.in/Thanks_rewards",1,93,19,2
"The index adjustment usually follows a gradual inclusion process, and the inflow of funds is also carried out in stages",0,100,21,1
Hi Team,0,6,2,1
Hi team,0,6,2,1
"Haha, anyway, the professor will compensate, so I'm not afraid. If we can make a profit, that's the best outcome. At least we won't make the professor spend moneyÃ¢ÂÂwe'll earn from the market",0,162,43,3
I love it when Mr Arvind Singh Shares his skills and learns more about making money,0,68,16,1
Please open a ticket with it support ; what else we can do ?,0,47,14,1
location,0,8,1,1
"Dear Customer, Exclusive Offer! Get 5% Unlimited Cashback with Flipkart Axis Bank Credit Card. Apply now for a Rs.1000* Gift Card> http://fkrt.it/Y4frc9NNNN",1,135,30,3
Come back to Lenskart & Avail SPECIAL Holi Offers +50% Cashback - Buy1Get1 with Gold Membership - 2Adult+2Kids at Rs.4000 - Lens upgrade starting Rs.1250 TnC,1,132,27,1
Friday of the year you're eagerly waiting for is finally here! PANTALOONS BLACK FRIDAY SALE is back from 24-27 NOV! Get your whishlist shopped with FLAT 25% OFF on our exclusive merchandise. Visit ur nearby Pantaloons store or Shop online tltx.in/oykJG TC. offer on select range,1,233,52,5
Dunzo Daily is now live in your neighbourhood! Get all groceries delivered fresh & fast in 35 mins & enjoy the Just Launched Sale! Click: http://bit.ly/DunzoApp,1,135,31,3
Join from,0,8,2,1
Disconnecting again and again,0,26,4,1
Just waiting for the assistant's notification,0,40,7,1
Happy New year all,0,15,4,1
Set your favorite song or your Name as Callertune. Click bit.ly/APP-CT,1,60,12,2
"Exclusive offer for Airtel prepaid customers like you! Gift an Airtel Prepaid SIM to your friends and family, and enjoy SIM delivery at no extra cost. To order, click i.airtel.in/nhb5",1,154,34,3
"Apply for Pre-qualified credit card limit up to INR 150,000 & get Noise ColorFit Pulse 2 Max Smart Watch worth Rs. 5,999. Click http://1kx.in/AMebzI SmartCardon",1,136,29,3
?image omitted,0,13,3,1
LAST TWO DAYS Rs.250 credited as FREE UNLIMITED Cash Points in your account to shop at UNLIMITED Fashion Store. Hurry! Click bit.ly/3mGelS6 for TnC,1,124,26,3
Foreign investors tend to cash out at market highs,0,42,9,1
Team inspite of multiple reminders this attendance is pathetic,0,54,9,1
"ENDS TODAY Shoppers Stop Showstoppers 2021 -The Biggest Beauty Extravaganza of the year! Use code CS10K & get FLAT 10% OFF on Rs.2500 or more +Special Beauty Kits, Offers, Free gifts & much more. Everything Beauty, only at one destination. Visit our nearest store or shop online at bit.ly/SS21bty T&C*",1,252,60,4
Only Last 3 hours to get the Best Deals at The 4-3-2-1 DASH at shoppersstop.com Click bit.ly/SS_DASH Use code ATV31M before it expires tonight. TnC,1,123,26,2
All the stock recommendations are small strategies before the competition starts.,0,71,12,1
+918979018080.vcf (file attached),0,31,5,1
Outlook for August 13,0,18,4,1
LAST DAY Rs.250 credited as FREE UNLIMITED Cash Points in your account to shop at UNLIMITED Fashion Store. Hurry! Click bit.ly/3mGelS6 for TnC,1,120,25,3
Ram please ask them create a ticket for this issue,0,41,10,1
For manager name in problem management incident,0,41,7,1
https,0,5,1,1
"LATEST DUSSEHRA FASHION@VISHAL BUY1GET1 Men Jean,Tshirt Ladies Kurta,Tshirt Kids Jean,Frock + FREE-VIP Trolley,DuffleBag + 7.5% SBICashback",1,124,27,1
I am restarting my laptop,0,21,5,1
And now I have a more important mission to do,0,36,10,1
"Hello Vi customer! Visit Vi reward store to claim your vouchers choose from zomato, myntra, cult.fit & more only for Vi customers, to explore simply click https://viapp.onelink.me/bSC3/efc3d0ba",1,167,33,2
Today,0,5,1,1
Most welcome ??,0,13,4,2
Wishing everyone wellÃ°ÂÂÂ,0,27,3,1
"Tomorrow is Independence Day, please stay relaxedÃ¢ÂÂ¨Ã¯Â¸Â",0,55,8,1
Okay,0,4,1,1
Temperature ?? n the motherboard ribbon cable has to be dissipated,0,56,12,3
Stay safe! Get yourself vaccinated today! Find available slots at a centre near you & set alerts for available slots. Visit Vi app now. Click bit.ly/Vi_Cowin,1,132,30,5
Hi everyone,0,10,2,1
I need to call and reset it,0,21,7,1
This is one more twist to our misery ??????,0,35,14,3
Not feeling well,0,14,3,1
No,0,2,1,1
""" Hello everyone, I am Arvind Singh the assistant to Mr. Anand Selvakesari, Chief Investment Officer at StockHolding Corporation of India Limited. It's a pleasure to connect with you all.""",0,159,36,2
You can mail them,0,14,4,1
What happened Shivam,0,18,3,1
"Team I may login little late today, feeling not well",0,43,11,1
Team I sent out an email about mandatory courses to be completed please complete them on priority. Friday is last date and donÂt wait till Friday as the server will be very busy those who are off shift as well please complete the training today,0,201,46,2
"Continue to hold, the master will analyze it in detail for you and I will inform youÃ°ÂÂÂ",0,76,18,1
Rejoining,0,9,1,1
How r u all,0,8,4,1
"I was planning to buy the three stocks recommended by the master, but the market is too bad and Ms. Rama asked me not to enter for the time being.",0,117,32,1
Men's Fashion rules are out at shoppersstop.com Click bit.ly/SS_Mn use code OC10K & get FLAT 10% OFF on Rs.2500 + Earn reward points on Men's Apparel & Acc. T&C,1,132,35,2
"I agree with you. Market reactions to news often occur in advance, and by the time retail investors are aware, it's already too late. We need to learn more technical analysis from the professor as well",0,166,41,3
Thank u keerthi??,0,15,5,2
The sector with the largest declines is likely still banking stocks,0,57,11,1
Ohh yes on the upper left corner,0,26,7,1
?Contact card omitted,0,19,4,1
Purchase completed Thank you for the notification,0,43,7,1
Get Lifetime FREE Card + 5% Unlimited Cashback with Flipkart Axis Bank Credit Card. Hurry! Limited Period Offer. Apply Now: http://fkrt.it/UZaKXzuuuN,1,129,28,4
"Trouble managing your family's multiple mobile recharges? Get Vi Family 999 plan - 220GB data, UL Calls, 3000SMS, Disney+ Hotstar Mobile, Amazon Prime, Zee5 + Voot Select + Hungama + Aaj Tak + Sun NXT on Vi Movies & TV VIP. All this @ just Rs1299/mnth for 5 postpaid lines on single bill with single payment. Click https://bit.ly/3k8f5Pk",1,280,69,4
BOOM BOOM... nifty will blast today all put holders take back seat today ...bulls,0,68,16,1
Hi team please follow this book for switching and good thing about this book is you can practice the topologies in packet tracer,0,106,23,1
Not required now,0,14,3,1
"If the market goes up today, I will sell my stocks in the afternoon.",0,55,16,1
WaitingÃ°ÂÂÂ,0,15,1,1
BIGGEST OFFERS@VISHAL 18-19Sep Rs100 FREE SHOPPING-Use Code REBU1UUYSC + Atta 5kg Rs142 Ghee1L 409 TataTea 140OFF + FREE GIFT on Rs1000 TnC,1,118,24,1
Compared to other countries' markets the trend in our domestic market is still relatively strong.,0,83,17,1
"Weekend Deals @SMART Point Store,Rs 20 OFF Oreo Choco 300g,Rs 36 OFF Lux Soft Touch Soap 3X150g ,Good Life Cashew 500g Rs 415,Click bit.ly/2wcq3h3 T&C",1,126,35,1
Hi team I will join half hour delay,0,28,8,1
"Freedom to get Free Fashion ! Buy 2 styles, Get 2 FREE at your favourite Unlimited Fashion Stores. Watch collection bit.ly/3in3oVe . T&C",1,114,27,4
I am trying,0,9,3,1
Hoping for a better situation,0,25,5,1
Ã°ÂÂÂTrading records on August 16,0,32,5,1
"While receiving international call if an Indian number or no number is displayed on your phone, please inform the toll free number 1800110420/1963",1,124,24,1
"India is all set to celebrate its 78th Independence Day on Thursday, August 15. Preparations to mark this occasion are in full swing.",0,111,26,2
A weak CPI report may slightly boost the confidence of Federal Reserve officials that inflation is declining,0,92,17,1
"Congrats , It's confirmed! Get Cash Loan up to Rs.50,000 at Truebalance. No paperwork, quick approval! Click - http://1kx.in/kA9HAQ - Credit Cardon",1,126,29,4
Waiting,0,7,1,1
Hi Team,0,6,2,1
Listen to Arvind Singhs advice. You can't go wrong,0,42,11,2
"Ross & Rachel are back! Catch the FRIENDS Reunion with 1 year ZEE5 Premium on Vi Rs405 recharge. Also get 90GB, Unlimited calls for 28 Days! Click bit.ly/Vi-zfr",1,133,32,4
"Rush! Your favourite Apparel, Fragrance and Footwear at upto 50% OFF only at shoppersstop.com Click bit.ly/SS_Mn use code OC10K get FLAT 10% OFF on Rs2500. T&C",1,134,33,3
"Congratulations!On your Digital Recharge,additional 5GB Data credited for 28 Days.Enjoy FREE Movies, Shows, News click bit.ly/35crrjt",1,118,22,1
"Premium movies only for you! Watch Oru Adaar Love, Anjaam Pathiraa, Solo, Kakshi: Amminippilla, Manorama news & more on Vi Movies & TV app! Click bit.ly/Vi-mv34",1,135,33,3
"Dear Greencard member, Your profile seems to be incomplete Some of your Greencard benefits may be locked due to missing information. Click s.cplry.com/MjEwMjk0MDQ3KzE to review ur membership details & update/confirm your profile to unlock a more rewarding experience. Thank you!! Team Pantaloons",1,254,47,4
No KK,0,4,2,1
Hi Kk,0,4,2,1
Will you be able to join,0,19,6,1
Brandon has sent an email,0,21,5,1
"Hello Vi customer, Season of T20! Participate in Vi Play Along, Win a motor bike, smartwatch and much more. Simply Click https://bit.ly/ViPAG",1,120,29,3
Good nd went very fast,0,18,5,1
"FREE DATA ALERT! Avail 2GB FREE data on your next Airtel Recharge on Airtel Thanks App. Download today, T&C i.airtel.in/freeÂ¿2GBdata",1,114,25,3
????,0,4,4,3
Pack on 8089XXX424 will expire soon! To enjoy ad-free music on WYNK for 30 days & 5GB till existing pack validity recharge with Rs98. i.airtel.in/RechargeNow,1,133,27,3
Ã°ÂÂÂ,0,8,1,1
Actually most of us is not in Bangalore,0,32,8,1
"Eid Mubarak! Stay home, stay safe & enjoy blockbuster movies, live TV shows, news, web-series all on Vi Movies & TV app! Just click bit.ly/Vi-moviess",1,125,31,3
????????,0,8,8,3
I look forward to your performance,0,29,6,1
""" Good morning, investors. It's now the morning session, and letÃ¢ÂÂs first focus on international news.""",0,92,22,2
LAST DAY Rs.250 credited as unconditional FREE UNLIMITED Cash Points in your account to shop at UNLIMITED Fashion Store. Hurry ! TnC,1,111,23,3
+916232014309.vcf (file attached),0,31,5,1
"I didnt sent to you, for those who got mail they can reply",0,46,14,1
Nice,0,4,1,1
"Biggest Diwali Offers@ VISHAL Vegetable Chopper(Mrp599) 70% OFF-Rs179 ONLY TODAY + FREE-VIP Trolley,Duffle Bag + 7.5% SBI Cashback TnC",1,116,27,1
"Tracking the overnight US market, on Fridaymorning, Asian markets were trading higher. JapanÃ¢ÂÂs Nikkei 225 jumped 3% to 37,824.34. The Korean index Kospi was up 1.77% at 2,691. However, the Asia Dow was trading 1.88% higher at 3,510.17. The benchmark Chinese index Shanghai Composite fell 0.08% to 2,874.92.",0,264,60,5
?image omitted,0,13,3,1
"Dear Customer, Triple OFFER: Apply for Flipkart Axis Bank Credit Card. Get 5% Cashback + Rs.1000* Gift Card+ Times Prime Benefits. http://fkrt.it/QSn22ANNNN",1,135,30,3
They tried to reach our did but didnt get any answer from our team,0,53,14,1
"Women's Day Special at SMART POINT store,B1G1 Mirabelle Facial Mask,B1G1 Spinz Deo 150ml,Save Rs 30 Lakme/Maybelline Kajal 0.35g,Click bit.ly/390OBbn T&C",1,134,31,1
"Add my assistant Rama's WhatsApp, and she will notify you of the stock name and buying and selling points on time at 2",0,96,25,1
Hi Team,0,6,2,1
"Rupee appreciation is driven by various factors, with oil prices and global economic conditions being significant influences. Market adjustments often bring opportunities, such as undervalued stocks becoming ideal for entry. By carefully analyzing market dynamics, we can identify these opportunities and achieve investment growth",0,287,49,3
""" Good afternoon, investors. The market has closed, and here's a brief summary""",0,67,18,2
"Kerala Holidays Made Easy!Click to chat with Kerala Tourism WhatsApp guide, Maya.Your personalized journey awaits-click, chat, explore.https://bit.ly/expkerala",1,143,24,1
"Tickets Booked! Download your M-ticket from https://bmsurl.co/ls9UEXZKXB and show it at the venue entrance to scan and enter. Here is your Booking ID - WHSTD4K for One (U) on Fri, 26 Mar, 2021 09:50pm, at PVR: Vega City, Bannerghatta Road(AUDI 08), Seats: CLASSIC. - F5, F6, F7 Please note that you don't require physical tickets to enter the venue. Don't go hungry! Click here to pre-book your meal: https://bmsurl.co/UgWm90u7Za This transaction can be cancelled up to 20 min(s) before the show as per cinema cancellation policy. In view of the Covid-19 situation, please follow these safety guidelines: bmsurl.co/TLUlJ3uunN",1,528,130,7
?image omitted,0,13,3,1
The US futures market is also showing mixed performance,0,47,9,1
Will chk now,0,10,3,1
You deserve superfast unlimited 5G! Upgrade to a 5G handset & be eligible on recharging with Rs. 239 or above. Click i.airtel.in/5GAWUL,1,114,25,4
"The S&P 500 Index rose by 0.38% to 5,455.21 points. The Nasdaq Technology Index increased by 0.03% to 17,192.60 points. The Dow Jones Industrial Average climbed by 0.61% to 40,008.39 points. Other major stocks had mixed performances",0,196,45,4
OkÃ°ÂÂÂ,0,10,1,1
The stock market will be closed tomorrow. I hope the stock market will perform well on Friday.,0,78,19,2
"Hello! We are now on Whatsapp! For balance, best Offers, recharges, services & more, simply click wa.me/919654297000?text=balance",1,113,25,3
This how our kt sessions should be then I received this today fwding as received,0,66,15,1
"Hi, apply now to avail a Home Loan offer starting at just 6.75%! Hassle-free process. Offer expires soon. Hurry! TnC apply bnkbzr.co/ODFroNwq3J",1,122,28,5
PAYTM has risen by 5%Ã°ÂÂÂÃ°ÂÂÂ,0,33,7,1
And try to dibble tap on tht light,0,27,8,1
+916232014309.vcf (file attached),0,31,5,1
"Verify the credentials of unknown callers, investment portals offering high returns and requests for urgent help for money received through Social Media. -RBI",1,136,25,2
LIVE: Vedix Weekend Sale! Shop hair and skin care items @ FLAT Rs. 299 LIMITED PERIOD OFFER! Shop Now - https://vedix.in/3l33poYZ2-L8GwAhv,1,118,27,4
Hi team anyone facing outlook issues ?,0,32,7,1
??,0,2,2,2
What Fibonacci retracement levels should I use?,0,41,8,1
Okay Jerold,0,10,2,1
Please avoid these last min surprises,0,32,6,1
Hi team I'll be joining late by half an hour.,0,36,12,1
Want one more prepaid SIM? Don't miss out on unlimited 5G data and complimentary 1 month subscription of 17+ OTTs with your new SIM activation! Get home delivery at NO EXTRA COST. Click here i.airtel.in/prepaid50,1,178,39,4
https,0,5,1,1
"Yayy! We've activated FREE CLASSIC membership of Vi Movies & TV with your Vi recharge. SunNxt, ZEE5, Voot series, movies & more unlocked! Click bit.ly/Vi-mv34",1,134,32,4
Bigg Boss chaahte hain! Recharge with Vi Unlimited249 or more Daily Data pack to watch BIGG BOSS OTT on Vi Movies&TV App at NO EXTRA COST! Click bit.ly/ViTVBB,1,131,32,3
"FREE DATA ALERT! Avail 2GB FREE data on your next Airtel Recharge on Airtel Thanks App. Download today, T&C i.airtel.in/free_2GBdata",1,113,25,3
Or chennai ?,0,10,3,1
Your Airtel SIM is 5G ready. Check now if your Smartphone is 5G enabled. Click i.airtel.in/e/airtel5G,1,86,18,3
Thank you I'll buy in now,0,20,7,1
"Not locked kk, says blocked",0,23,6,1
Okay,0,4,1,1
3,0,1,1,1
There are many knowledge points that need to be learned slowly,0,52,11,1
Your wish is difficult to achieve,0,28,6,1
"Hello! We are now on Whatsapp! For Best Offers, recharges, services & more, simply click wa.me/919654297000?text=balance",1,105,23,3
Then itÂs not blocked as far as I understand,0,37,9,1
Happy New Year to all,0,17,5,1
Want Unlimited high speed data? Join Vi Postpaid on Entertainment plus 699 plan to enjoy unlimited high speed data & calls with 1 year subscription of Amazon prime and Diney+ Hotstar VIP. To know more walk-in to nearest Vi store or give us a call to 97451 97450. You can also order online click http://bit.ly/3amKf1E,1,262,60,4
"1 year FREE subscription of Amazon Prime & Disney+Hotstar + FREE 30 days of DTH. Switch to Airtel Black now, call 8826655555 or click i.airtel.in/blackPreDTH",1,133,27,2
"Hi Team, I'll join by 30 mins late..",0,29,11,1
Shakthi Vishnu as well,0,19,4,1
"Just for you: get 10% OFF on 4 orders! Get groceries, fruits, veggies, & meat delivered home in <45 mins. Click: http://bit.ly/DunzoApp",1,114,33,3
"Team, Wifi router is not working trying to fix it will be back soon",0,54,15,1
50% ALERT: data is consumed. Get 5GB data topup at just Rs98 Ã¶ valid till your current pack. Click i.airtel.in/Get-Data,1,101,24,3
Taking time,0,10,2,1
""" Due to the lack of significant domestic triggers, investors are now paying more attention to the movements of the global market. Although the mid-term recovery of the US market has brought some relief, the continuous pressure on some industry heavyweight stocks has limited the strength of the recovery. In the current situation of uncertain prospects, we recommend maintaining a cautious stance and adopting hedging strategies until the next trend of the marketÃÂ becomesÃÂ clearer""",0,415,81,3
"The current market performance is neutral, so please don't lose confidenceÃ¢ÂÂ",0,69,13,1
"Dear Customer, R&B-Dubai's Favourite Fashion Brand now at Hennur Main Road, Opp McDonald's, Bengaluru. Get Free Duffle Bag worth 2999 on shopping for 3499. T&C.",1,136,37,3
Hi team todayÂs team meeting is must attend for all as discussed and agreed please make sure everyone join the meeting,0,99,21,1
I've sent it to you privately Thank you,0,32,9,1
So you mean to say chandler tunnels should not be up ?,0,43,12,1
Lenskart Diwali Sale is now live! Enjoy Buy 1 Get 1 Free with upto 40% Off on the trendiest styles.TnC Visit your nearest store lskt.me/u4 now!,1,118,29,2
No*,0,3,2,1
"Missing out on uninterrupted music & trendiest songs? Grab Wynk Premium at just Rs49 and enjoy unlimited ad-free music, song downloads & hellotunes. Upgrade Now. Click here open.wynk.in/Inactive",1,167,32,4
Win KIA Sonet Car Q1.Who is the prime minister of India? A) Narendra Modi B) Rahul Reply A/B @Rs.5/Ans or Click http://bit.ly/playnwins,1,114,28,2
Subject line is ECL.. U CAN start fresh email with him for DAL,0,50,14,1
Restarting laptop,0,16,2,1
It's in Koramangala near Forum mall,0,30,7,1
Hurry!!! Limited Period Offer!!! Shop at your nearest Reliance Smart Point & avail exciting offers on medicines at Netmeds Pharmacy Store. T&C,1,121,31,4
I've sold everything Thank you Mr Arvind SinghÃ°ÂÂÂ,0,47,9,1
"Dear Denima, Hope you enjoyed your shopping at Lifestyle! Click To View Your e-invoice knvl.me/AyV2lCmtIJ",1,91,17,2
@512.90 purchase 100 shares,0,24,5,1
"Dunzo Daily follows Puneeth's advice: if it comes tomorrow, it's too late! With 50% OFF & FREE delivery, get grocery in 19 min! dunzo.onelink.me/jWqC/Home",1,131,32,3
Hopefully the market will rise on Friday,0,34,7,1
2. Trend Price Trading,0,19,5,2
"Jeans !! Every pair tells a story, makes a statement or even has its unique flare. Shop at the Pantaloons Denim Mania to find a pair that tells your story or marks your style Check out the latest shoppable catalogue, click tltx.in/s3k9J or simply visit our store See you this weekend at Pantaloons!!",1,247,59,5
Hi All,0,5,2,1
Joining in 2 mins ty,0,16,5,1
Irrespective of shift timing this is mandatory for everyone,0,51,9,1
I believe the Indian stock market will take off. I will remain patient and wait for the next instruction from Mr.,0,93,23,2
"Yayy! We've activated FREE CLASSIC membership of Vi Movies & TV with your Vi recharge. SunNxt, ZEE5, Voot series, movies & more unlocked!Click bit.ly/Vi-mv34",1,134,32,3
"Watch MasterChef Hindi S2 for free! Your 30 days of FREE Airtel Xstream Play access is NOW ACTIVE! Get 15+ OTTs - Sony Live, LionsgatePlay, Fancode & more! Limited time offer. Click Below! https://open.airtelxstream.in/WatchForFree-sms",1,202,43,6
The trend is still moving upward so IÃ¢ÂÂd like to continue holding and see how it develops,0,77,17,1
"Nifty has risen to 24160, the master's prediction should be correctÃ°ÂÂÂ",0,65,13,1
I have known the professor for a long time,0,34,9,1
+918979018080.vcf (file attached),0,31,5,1
ThankÃ°ÂÂÂ,0,13,1,1
Yes same to me,0,11,4,1
?image omitted,0,13,3,1
7 days left to save your Insider membership It was a pleasure having you as an Insider & we'd like that to continue Click to know more http://smsd.in/bl2mKc9UT,1,132,31,1
You have a SURPRISE OFFER waiting in your AJIO cart for the next few hours. Shop your faves before the stock runs out! HURRY https://bit.ly/3svsM0j,1,123,29,3
Why it is late ?,0,12,5,1
"I am not comforting you because the stocks I recommended recently suffered a floating loss, but because I treat every member as a friendÃ°ÂÂÂ",0,121,25,1
No data limit worries with Airtel's new data pack! Recharge with Rs.49 data pack and get unlimited data for one day. Click i.airtel.in/PP49,1,117,26,3
How to get it,0,10,4,1
Good nees,0,8,2,1
The Federal Reserve has access to even more data and they certainly know the true situation of inflation,0,87,18,1
"The market is volatile at the moment, so the most stable investment method is",0,64,15,1
Whatever whoever is giving kt can you ensure that you adapt this model,0,58,13,1
Get subscription of Amazon Prime & Disney+ Hotstar + FREE 30 days of new service with Airtel Black. Click i.airtel.in/blackPreDSL,1,110,21,2
Don't miss out on up to 1 Gbps speed & uninterrupted streaming. Switch to Airtel Xstream Fiber and get FREE router. T&C. Click u.airtel.in/unlimiteddata11,1,131,30,4
?image omitted,0,13,3,1
Just wait for the upcoming announcements,0,35,6,1
Unlimited 5G data + 22 OTTs = Airtel Prepaid SIM! Order your SIM & enjoy home delivery at no extra cost. Click i.airtel.in/getprepaid7 T&C Apply.,1,121,30,3
Your FREE access to Wynk Premium is ACTIVE. Enjoy Ad free music with unlimited downloads & unlimited hello tunes: bit.ly/WynkPlat,1,110,22,2
"To be honest, I donÃ¢ÂÂt even know the stocks I bought, and sometimes I even remember their names wrong.",0,88,22,1
IÃ¢ÂÂm looking forward to your performance even more after the competition starts.,0,73,13,1
"Welcome to Airtel! To complete your activation journey & start voice and data services, download & register on Airtel Thanks app NOW. Also avail exciting offers and rewards. If you already have Airtel Thanks app on your phone, add your new number in the App in ""Manage Account/Add New Account"" section. Download NOW: https://airtel.in/5/",1,284,65,5
No power in Laptop,0,15,4,1
Ok,0,2,1,1
"For outlook, I can only open but further I can't read any mail",0,50,15,1
Yes,0,3,1,1
Hi team tomorrow audit team,0,23,5,1
Joined,0,6,1,1
????,0,4,4,3
Here what's happening is we can't access mail,0,38,10,1
Thanks Imtiyaz for the update,0,25,5,1
"Ã¢ÂÂÃ¯Â¸ÂThe table below shows annualized excess return following RSI momentum signals. The figures are based on the quarterly figures, i.e. excess return 66 days (3 months) after the signal was triggered.",0,178,37,3
"Play FREE Rummy & Win Rs.2,00,000 today on Junglee Rummy! Also, Get Rs.5500 Welcome Bonus on first deposit! Download the app now: https://bit.ly/2Zz0a9Z",1,130,29,3
Thank you buddy,0,13,3,1
Happy Pongal,0,11,2,1
"Don't miss out on FREE rewards on your next recharge. Download Airtel Thanks App to avail amazing rewards. To download, click i.airtel.in/Download_Thanks",1,132,26,3
"I am not making excuses or bragging. The stock selection and selling trading skills we are learning now are just regular trading skills (BOLL, MACD)",0,124,29,2
"Dear Customer, Your order will be delivered on 29 May 2021 between 12:00 pm to 04:00 pm. Please ensure the order is prepaid and keep a bag outside for a no contact & hassle free delivery. Thanks, Team bigbasket",1,172,43,3
"This afternoon is crucial. Can Nifty rise sharply? Can the ""holiday effect"" appear? Will there be an adjustment after the holiday? All of these are related to the trend this afternoon. We must be prepared for both situations.",0,188,46,6
Ã°ÂÂÂÃ°ÂÂÂThank you,0,24,2,1
"I think Mr.'s approach is very sensible. When the stock market is not doing well, Mr. obviously reduces the frequency of transactions.",0,113,26,2
4,0,1,1,1
Ok sirÃ°ÂÂÂ,0,13,2,1
I will definitely inform earlier,0,28,5,1
Determined Ã°ÂÂÂ,0,18,2,1
Hi team,0,6,2,1
?image omitted,0,13,3,1
"Ok, Thanks imtiyaz for update",0,25,6,1
50% ALERT: data is consumed. Get 5GB + FREE 2GB (EXCLUSIVE on Airtel Thanks App) topup at just Rs98 | valid till your current pack i.airtel.in/UnlimitedData-1,1,133,31,2
But no access to outlook mail server,0,30,7,1
"Enjoy Upto 70% OFF on your favourite brands at MEGA BARGAIN DAYS only at shoppersstop.com till 30-Sept 2021 Click bit.ly/SS_mbd to shop Handbags, Footwear & Accessories + use code PVT25K & get 10% OFF on Rs.2500. Get exciting offers on shopping of Rs.5000 or more. Click bit.ly/SStcP21 for details. T&C",1,253,58,4
Congratulations! Your smartphone deserves a 5G ready network. Order Airtel prepaid SIM online & get it delivered at home at no extra cost Click i.airtel.in/awj,1,135,27,3
That's what I said ??,0,17,7,2
OMG..The biggest offer of the season is here at MAX Fashion! EVERYTHING @FLAT 50% OFF!! Get FLAT 50% OFF on ENTIRE SALE merchandise ONLY till Sunday Rush! TnC,1,131,37,4
Happy 2021,0,9,2,1
??????,0,6,6,3
"The market rose in the afternoon, but not particularly significantly.",0,60,12,1
Wanderlust calling! Seaside paradise or Mountain Get-aways Nature trails or Romantic rides Its time to immerse into ur dreamland Its time to WEAR YOUR HOLIDAY with Pantaloons Visit a Pantaloons store or shop online & get EaseMyTrip vouchers worth Rs3000 on shopping of Rs3000 Click tltx.in/rXHtl TC,1,252,48,2
Don't miss out on Airtel Thanks App benefits with your existing pack/plan at no extra cost! Claim on Airtel Thanks App today i.airtel.in/app_benefits8,1,128,25,2
Understanding MACD,0,17,2,1
Stock market weighting refers to the degree of influence each stock has on a particular market index. Weighting usually reflects factors such as the stock's market capitalization or liquidity,0,163,31,2
